model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Nemotron 3 Nano 30ba3,MS-ESS2,recall,93,0.9785,0.9249,0.9941,,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-ESS3,applied,96,0.9375,0.8703,0.971,0.9427,0.0,0.0
Nemotron 3 Nano 30ba3,MS-ESS3,conceptual,99,0.9798,0.9293,0.9944,0.9848,0.0,0.0143
Nemotron 3 Nano 30ba3,MS-ESS3,recall,78,0.9744,0.9112,0.9929,,0.0,0.0363
Nemotron 3 Nano 30ba3,MS-ETS1,applied,93,0.9785,0.9249,0.9941,0.9785,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,MS-ETS1,recall,75,1.0,0.9513,1.0,,0.0,0.0
Nemotron 3 Nano 30ba3,MS-LS1,applied,87,0.9885,0.9377,0.998,0.9828,0.0,0.0163
Nemotron 3 Nano 30ba3,MS-LS1,conceptual,93,0.9677,0.9094,0.989,0.9785,0.0,0.0263
Nemotron 3 Nano 30ba3,MS-LS1,recall,87,0.931,0.8576,0.968,,0.0,0.0282
Nemotron 3 Nano 30ba3,MS-LS2,applied,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
Nemotron 3 Nano 30ba3,MS-LS2,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Nemotron 3 Nano 30ba3,MS-LS2,recall,93,0.914,0.8393,0.9558,,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-LS3,applied,90,0.9778,0.9226,0.9939,0.9833,0.0,0.0314
Nemotron 3 Nano 30ba3,MS-LS3,conceptual,87,1.0,0.9577,1.0,0.9828,0.0,0.0
Nemotron 3 Nano 30ba3,MS-LS3,recall,78,0.9872,0.9309,0.9977,,0.0,0.0181
Nemotron 3 Nano 30ba3,MS-LS4,applied,87,1.0,0.9577,1.0,0.9943,0.0,0.0
Nemotron 3 Nano 30ba3,MS-LS4,conceptual,99,0.9899,0.945,0.9982,0.9848,0.0,0.0143
Nemotron 3 Nano 30ba3,MS-LS4,recall,81,0.9259,0.8477,0.9656,,0.0,0.0605
Nemotron 3 Nano 30ba3,MS-PS1,applied,93,0.914,0.8393,0.9558,0.9516,0.0,0.0402
Nemotron 3 Nano 30ba3,MS-PS1,conceptual,99,0.9293,0.8612,0.9653,0.9394,0.0,0.0143
Nemotron 3 Nano 30ba3,MS-PS1,recall,69,0.9565,0.8798,0.9851,,0.0,0.0615
Nemotron 3 Nano 30ba3,MS-PS2,applied,93,0.914,0.8393,0.9558,0.9301,0.0,0.0402
Nemotron 3 Nano 30ba3,MS-PS2,conceptual,93,0.914,0.8393,0.9558,0.9462,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-PS2,recall,87,0.9655,0.9035,0.9882,,0.0,0.0282
Nemotron 3 Nano 30ba3,MS-PS3,applied,96,0.9688,0.9121,0.9893,0.9844,0.0,0.0
Nemotron 3 Nano 30ba3,MS-PS3,conceptual,90,0.9667,0.9065,0.9886,0.9611,0.0,0.0272
Nemotron 3 Nano 30ba3,MS-PS3,recall,66,0.9697,0.8961,0.9917,,0.0,0.0214
Nemotron 3 Nano 30ba3,MS-PS4,applied,93,0.9785,0.9249,0.9941,0.9892,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-PS4,conceptual,84,0.9405,0.8681,0.9743,0.9643,0.0,0.0337
Nemotron 3 Nano 30ba3,MS-PS4,recall,87,0.9885,0.9377,0.998,,0.0,0.0163
OSS 120b,MS-ESS1,applied,96,0.9583,0.8977,0.9837,0.974,0.0,0.0295
OSS 120b,MS-ESS1,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
OSS 120b,MS-ESS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
OSS 120b,MS-ESS2,applied,96,0.9792,0.9272,0.9943,0.9792,0.0,0.0295
OSS 120b,MS-ESS2,conceptual,93,0.9892,0.9416,0.9981,0.9892,0.0,0.0152
OSS 120b,MS-ESS2,recall,93,0.9677,0.9094,0.989,,0.0,0.0263
OSS 120b,MS-ESS3,applied,96,0.9479,0.8838,0.9776,0.9688,0.0,0.0295
OSS 120b,MS-ESS3,conceptual,99,0.9798,0.9293,0.9944,0.9899,0.0,0.0286
OSS 120b,MS-ESS3,recall,78,0.9872,0.9309,0.9977,,0.0,0.0181
OSS 120b,MS-ETS1,applied,93,0.9785,0.9249,0.9941,0.9892,0.0,0.0152
